id,name_of_resturant,address,type_of_resturant
los1,HABITAT COFFEE SHOP,3708 N EAGLE ROCK BLVD,Cafe
los2,REILLY'S,100 WORLD WAY # 120,Restaurant
los3,STREET CHURROS,6801 HOLLYWOOD BLVD # 253,Fast Food
los4,TRINITI ECHO PARK,1814 W SUNSET BLVD,Restaurant
los5,POLLEN,2100 ECHO PARK AVE,Restaurant
los6,THE SPOT GRILL,10004 NATIONAL BLVD,Restaurant
los7,CPK,100 WORLD WAY # 126,Restaurant
los8,PHO LALA,3500 W 6TH ST STE 226,Restaurant
los9,ABC DONUTS,3027 N SAN FERNANDO RD UNIT 103,Fast Food
los10,UPSTAIRS,3707 N CAHUENGA BLVD,Restaurant
los11,EL POLLO LOCO,5319 W SUNSET BLVD,Restaurant
los12,POONG NYUN BAKERY,928 S WESTERN AVE STE 109,Bakery
los13,EMC RESTAURANT GROUP LLC,3500 W 6TH ST STE 101,Restaurant
los14,POPULAR DONUTS,3614 W SLAUSON AVE,Fast Food
los15,CUSCATLECA BAKERY,2501 W SUNSET BLVD #A,Bakery
los16,FOOD COURT TRAY WASHING AREA,928 S WESTERN AVE STE 300,Restaurant
los17,HMS BOUNTY,3357 WILSHIRE BLVD,Restaurant
los18,AN'S CHAN BANG,244 S OXFORD AVE # 5,Restaurant
los19,MURAKAMI,7160 MELROSE AVE,Restaurant
los20,DELTA SKY CLUB T3,300 WORLD WAY,Restaurant
los21,CRYSTAL CAFE,3500 W 6TH ST STE #321,Restaurant
los22,ORANGE TREE CAFE,3500 W 6TH ST STE #220,Restaurant
los23,CAMY'S GRILL,3339 WILSHIRE BLVD,Restaurant
los24,SABORES DEL PERU,1015 WALL ST STE 123,Restaurant
los25,M CAFE DE CHAYA,7119 MELROSE AVE,Restaurant
los26,INDIA'S GRILL,428 S SAN VICENTE BLVD,Restaurant
los27,LA INDIA BONITA CAFE,1277 S INDIANA ST,Restaurant
los28,NORM'S RESTAURANT,470 N LA CIENEGA BLVD,Restaurant
los29,BEVERLY FALAFEL,8508 W 3RD ST,Restaurant
los30,KRISPY KRUNCHY CHICKEN - ALVARADO,600 S ALVARADO ST STE 111C,Restaurant
los31,CAFE 153,1125 3/4 WALL ST,Restaurant
los32,DUNES RESTAURANT,5625 W SUNSET BLVD,Restaurant
los33,THE FOUNDATION CENTER,11633 S WESTERN AVE,Restaurant
los34,ONO HAWAIIAN BBQ,5539 W SUNSET BLVD,Restaurant
los35,MUSH BAKERY,5224 W SUNSET BLVD,Bakery
los36,REGGIE'S DELI & CAFE,1910 W SUNSET BLVD STE 150,Restaurant
los37,HOT THAI RESTAURANT,416 S SAN VICENTE BLVD,Restaurant
los38,WABA GRILL,7109 W SUNSET BLVD,Restaurant
los39,THANK YOU FOR COMING,3416 GLENDALE BLVD,Restaurant
los40,TROPICAL FRUITS & JUICES,5729 N FIGUEROA ST,Restaurant
los41,SUBWAY -52105,255 S GRAND AVE STE 101,Fast Food
los42,IHOP,7006 W SUNSET BLVD,Restaurant
los43,PANDA EXPRESS #2596,1544 S LA CIENEGA BLVD,Fast Food
los44,GOLDEN INDIAN GRILL,5954 W PICO BLVD,Restaurant
los45,LA MONARCA BAKERY,5835 N FIGUEROA ST,Bakery
los46,LAXSUL COMPANY,380 WORLD WAY LVL6 SP5,Restaurant
los47,THE COUNTER SPACE 7C,700 WORLD WAY,Restaurant
los48,KALBIS KOREAN GRILL,11102 W OLYMPIC BLVD,Restaurant
los49,TOGO'S,505 S FLOWER ST STE #B420,Restaurant
los50,AFC SUSHI AT WALGREENS #1527,1501 N VINE ST,Restaurant